 GET /sign-in 200 in 33ms (compile: 3ms, proxy.ts: 3ms, render: 27ms)
2026-03-03T17:06:52.085Z ERROR [Better Auth]: Invalid origin: http://localhost:3000
 POST /api/auth/sign-in/social 403 in 27ms (compile: 8ms, proxy.ts: 6ms, render: 12ms)
2026-03-03T17:07:15.786Z ERROR [Better Auth]: Invalid origin: http://localhost:3000
 POST /api/auth/sign-in/social 403 in 21ms (compile: 7ms, proxy.ts: 5ms, render: 9ms)
 GET /api/auth/get-session 200 in 18ms (compile: 6ms, proxy.ts: 3ms, render: 8ms)
 GET /sign-in 200 in 75ms (compile: 8ms, proxy.ts: 5ms, render: 62ms)
 GET /api/auth/get-session 200 in 60ms (compile: 29ms, proxy.ts: 19ms, render: 12ms)
 GET /sign-in 200 in 79ms (compile: 4ms, proxy.ts: 4ms, render: 71ms)
 GET /api/auth/get-session 200 in 18ms (compile: 6ms, proxy.ts: 2ms, render: 11ms)
 GET /sign-in 200 in 82ms (compile: 2ms, proxy.ts: 2ms, render: 78ms)
 GET /sign-in 200 in 318ms (compile: 9ms, proxy.ts: 11ms, render: 297ms)
 GET /sign-in 200 in 247ms (compile: 12ms, proxy.ts: 12ms, render: 223ms)
 GET /sign-in 200 in 134ms (compile: 6ms, proxy.ts: 8ms, render: 120ms)
 GET /sign-in 200 in 167ms (compile: 7ms, proxy.ts: 7ms, render: 153ms)
 GET /sign-in 200 in 107ms (compile: 7ms, proxy.ts: 6ms, render: 94ms)
 GET /api/auth/get-session 200 in 41ms (compile: 21ms, proxy.ts: 7ms, render: 13ms)
 GET /sign-in 200 in 81ms (compile: 5ms, proxy.ts: 7ms, render: 70ms)
 GET /sign-in 200 in 233ms (compile: 10ms, proxy.ts: 5ms, render: 218ms)
 GET /sign-in 200 in 158ms (compile: 6ms, proxy.ts: 14ms, render: 139ms)
 GET /sign-in 200 in 272ms (compile: 5ms, proxy.ts: 8ms, render: 259ms)
 GET /sign-in 200 in 104ms (compile: 5ms, proxy.ts: 4ms, render: 95ms)
 GET /sign-in 200 in 117ms (compile: 6ms, proxy.ts: 6ms, render: 105ms)
 GET /sign-in 200 in 157ms (compile: 4ms, proxy.ts: 7ms, render: 145ms)
 GET /sign-in 200 in 120ms (compile: 5ms, proxy.ts: 12ms, render: 103ms)
 GET /api/auth/get-session 200 in 16ms (compile: 4ms, proxy.ts: 6ms, render: 6ms)
 GET /Icons/Logo.png 404 in 60ms (compile: 8ms, proxy.ts: 3ms, render: 50ms)
 GET /forgot-password 200 in 1496ms (compile: 1471ms, proxy.ts: 5ms, render: 19ms)
 GET /sign-in 200 in 172ms (compile: 8ms, proxy.ts: 8ms, render: 155ms)
 GET /api/auth/get-session 200 in 72ms (compile: 20ms, proxy.ts: 36ms, render: 15ms)
2026-03-03T17:09:48.693Z ERROR [Better Auth]: Invalid origin: http://localhost:3000
 POST /api/auth/sign-in/social 403 in 95ms (compile: 44ms, proxy.ts: 26ms, render: 25ms)
